,Symbol,Company Name
335,NATCOPHARM,Natco Pharma Limited
336,HFCL,HFCL Limited
337,MOTILALOFS,Motilal Oswal Financial Services Limited
338,CESC,CESC Limited
339,SUNCLAYLTD,Sundaram Clayton Limited
340,AKZOINDIA,Akzo Nobel India Limited
341,EIDPARRY,EID Parry India Limited
342,ALLCARGO,Allcargo Logistics Limited
343,ITI,ITI Limited
344,MRPL,Mangalore Refinery and Petrochemicals Limited
345,MANAPPURAM,Manappuram Finance Limited
346,RAYMOND,Raymond Limited
347,AMARAJABAT,Amara Raja Batteries Limited
348,TANLA,Tanla Platforms Limited
349,JKLAKSHMI,JK Lakshmi Cement Limited
350,ZYDUSWELL,Zydus Wellness Limited
351,GESHIP,The Great Eastern Shipping Company Limited
352,VTL,Vardhman Textiles Limited
353,VIPIND,VIP Industries Limited
354,KRBL,KRBL Limited
355,EASEMYTRIP,Easy Trip Planners Limited
356,KARURVYSYA,Karur Vysya Bank Limited
357,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
358,GODREJAGRO,Godrej Agrovet Limited
359,PNBHOUSING,PNB Housing Finance Limited
360,CYIENT,Cyient Limited
361,TEJASNET,Tejas Networks Limited
362,ERIS,Eris Lifesciences Limited
363,BALAMINES,Balaji Amines Limited
364,GALAXYSURF,Galaxy Surfactants Limited
365,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
366,POLYMED,Poly Medicure Limited
367,JINDWORLD,Jindal Worldwide Limited
368,SAPPHIRE,Sapphire Foods India Limited
369,JUBLINGREA,Jubilant Ingrevia Limited
370,TRITURBINE,Triveni Turbine Limited
371,FINCABLES,Finolex Cables Limited
372,KALPATPOWR,Kalpataru Power Transmission Limited
373,MGL,Mahanagar Gas Limited
374,ASTRAZEN,AstraZeneca Pharma India Limited
375,BSOFT,BIRLASOFT LIMITED
376,RITES,RITES Limited
377,BALRAMCHIN,Balrampur Chini Mills Limited
378,SWANENERGY,Swan Energy Limited
379,CENTURYTEX,Century Textiles & Industries Limited
380,SHYAMMETL,Shyam Metalics and Energy Limited
381,SONATSOFTW,Sonata Software Limited
382,LXCHEM,Laxmi Organic Industries Limited
383,SHOPERSTOP,Shoppers Stop Limited
384,ALOKINDS,Alok Industries Limited
385,GRANULES,Granules India Limited
386,WELSPUNIND,Welspun India Limited
387,TMB,Tamilnad Mercantile Bank Limited
388,ROUTE,ROUTE MOBILE LIMITED
389,BIRLACORPN,Birla Corporation Limited
390,LATENTVIEW,Latent View Analytics Limited
391,JYOTHYLAB,Jyothy Labs Limited
392,RAINBOW,Rainbow Childrens Medicare Limited
393,SPLPETRO,Supreme Petrochem Limited
394,SAREGAMA,Saregama India Limited
395,RCF,Rashtriya Chemicals and Fertilizers Limited
396,PNCINFRA,PNC Infratech Limited
397,BSE,BSE Limited
398,CRAFTSMAN,Craftsman Automation Limited
399,MEDPLUS,Medplus Health Services Limited
400,EQUITASBNK,Equitas Small Finance Bank Limited
401,IBULHSGFIN,Indiabulls Housing Finance Limited
402,GRAPHITE,Graphite India Limited
403,ANURAS,Anupam Rasayan India Limited
404,CHEMPLASTS,Chemplast Sanmar Limited
405,KNRCON,KNR Constructions Limited
406,FSL,Firstsource Solutions Limited
407,CHALET,Chalet Hotels Limited
408,CANFINHOME,Can Fin Homes Limited
409,GMMPFAUDLR,GMM Pfaudler Limited
410,CCL,CCL Products (India) Limited
411,COCHINSHIP,Cochin Shipyard Limited
412,STLTECH,Sterlite Technologies Limited
413,NBCC,NBCC (India) Limited
414,HGS,Hinduja Global Solutions Limited
415,JKPAPER,JK Paper Limited
416,NETWORK18,Network18 Media & Investments Limited
417,TCIEXP,TCI Express Limited
418,APARINDS,Apar Industries Limited
419,JMFINANCIL,JM Financial Limited
420,TRIVENI,Triveni Engineering & Industries Limited
421,METROPOLIS,Metropolis Healthcare Limited
422,BLS,BLS International Services Limited
423,LEMONTREE,Lemon Tree Hotels Limited
424,CERA,Cera Sanitaryware Limited
425,INDIACEM,The India Cements Limited
426,KSB,Ksb Limited
427,CEATLTD,CEAT Limited
428,BORORENEW,BOROSIL RENEWABLES LIMITED
429,PRINCEPIPE,Prince Pipes And Fittings Limited
430,PGHL,Procter & Gamble Health Limited
431,PRAJIND,Praj Industries Limited
432,ECLERX,eClerx Services Limited
433,ACI,Archean Chemical Industries Limited
434,GOCOLORS,Go Fashion (India) Limited
435,HOMEFIRST,Home First Finance Company India Limited
436,GARFIBRES,Garware Technical Fibres Limited
437,ESABINDIA,Esab India Limited
438,AMBER,Amber Enterprises India Limited
439,TV18BRDCST,TV18 Broadcast Limited
440,SCI,Shipping Corporation Of India Limited
441,SYMPHONY,Symphony Limited
442,BBTC,Bombay Burmah Trading Corporation Limited
443,WELCORP,Welspun Corp Limited
444,INDIGOPNTS,Indigo Paints Limited
445,BEML,BEML Limited
446,INOXLEISUR,INOX Leisure Limited
447,QUESS,Quess Corp Limited
448,JBMA,JBM Auto Limited
449,INGERRAND,Ingersoll Rand (India) Limited
450,INTELLECT,Intellect Design Arena Limited
451,EDELWEISS,Edelweiss Financial Services Limited
452,JUBLPHARMA,Jubilant Pharmova Limited
453,BCG,Brightcom Group Limited
454,GAEL,Gujarat Ambuja Exports Limited
455,RTNINDIA,RattanIndia Enterprises Limited
456,KFINTECH,Kfin Technologies Limited
457,SPARC,Sun Pharma Advanced Research Company Limited
458,RAIN,Rain Industries Limited
459,SIS,SIS LIMITED
460,DELTACORP,Delta Corp Limited
461,DATAPATTNS,Data Patterns (India) Limited
462,MMTC,MMTC Limited
463,UJJIVANSFB,Ujjivan Small Finance Bank Limited
464,GUJALKALI,Gujarat Alkalies and Chemicals Limited
465,RUSTOMJEE,Keystone Realtors Limited
466,MAHLIFE,Mahindra Lifespace Developers Limited
467,VMART,V-Mart Retail Limited
468,IRCON,Ircon International Limited
469,RELIGARE,Religare Enterprises Limited
470,ORIENTELEC,Orient Electric Limited
471,MAPMYINDIA,C.E. Info Systems Limited
472,GSFC,Gujarat State Fertilizers & Chemicals Limited
473,GRSE,Garden Reach Shipbuilders & Engineers Limited
474,RBA,Restaurant Brands Asia Limited
475,SOBHA,Sobha Limited
476,J&KBANK,The Jammu & Kashmir Bank Limited
477,EPL,EPL Limited
478,MHRIL,Mahindra Holidays & Resorts India Limited
479,CAPLIPOINT,Caplin Point Laboratories Limited
480,NCC,NCC Limited
481,MAHSCOOTER,Maharashtra Scooters Limited
482,GPIL,Godawari Power And Ispat limited
483,PRSMJOHNSN,Prism Johnson Limited
484,AVANTIFEED,Avanti Feeds Limited
485,USHAMART,Usha Martin Limited
486,MFL,Meghmani Finechem Limited
487,JPPOWER,Jaiprakash Power Ventures Limited
488,GLS,Glenmark Life Sciences Limited
489,MASTEK,Mastek Limited
490,VAIBHAVGBL,Vaibhav Global Limited
491,VSTIND,VST Industries Limited
492,SWSOLAR,Sterling and Wilson Renewable Energy Limited
493,JUSTDIAL,Just Dial Limited
494,HIKAL,Hikal Limited
495,POLYPLEX,Polyplex Corporation Limited
496,MTARTECH,Mtar Technologies Limited
497,SYRMA,Syrma SGS Technology Limited
498,LUXIND,Lux Industries Limited
499,ROLEXRINGS,Rolex Rings Limited
500,PCBL,PCBL LIMITED
501,MINDACORP,Minda Corporation Limited
502,RPOWER,Reliance Power Limited
503,GHCL,GHCL Limited
504,GPPL,Gujarat Pipavav Port Limited
505,JSWHL,JSW Holdings Limited
506,SUNTECK,Sunteck Realty Limited
507,ZENSARTECH,Zensar Technologies Limited
508,CMSINFO,CMS Info Systems Limited
509,TCI,Transport Corporation of India Limited
510,PARADEEP,Paradeep Phosphates Limited
511,VRLLOG,VRL Logistics Limited
512,TATVA,Tatva Chintan Pharma Chem Limited
513,KTKBANK,The Karnataka Bank Limited
514,RALLIS,Rallis India Limited
515,KIRLOSENG,Kirloskar Oil Engines Limited
516,GMDCLTD,Gujarat Mineral Development Corporation Limited
517,SHARDACROP,Sharda Cropchem Limited
518,STARCEMENT,Star Cement Limited
519,ARVINDFASN,Arvind Fashions Limited
520,SUPRAJIT,Suprajit Engineering Limited
521,PDSL,PDS Limited
522,VARROC,Varroc Engineering Limited
523,JKTYRE,JK Tyre & Industries Limited
524,RAJRATAN,Rajratan Global Wire Limited
525,FDC,FDC Limited
526,PRIVISCL,Privi Speciality Chemicals Limited
527,VIJAYA,Vijaya Diagnostic Centre Limited
528,INFIBEAM,Infibeam Avenues Limited
529,ENGINERSIN,Engineers India Limited
530,MASFIN,MAS Financial Services Limited
531,ICRA,ICRA Limited
532,IBREALEST,Indiabulls Real Estate Limited
533,KAYNES,Kaynes Technology India Limited
534,MAHSEAMLES,Maharashtra Seamless Limited
535,TEAMLEASE,Teamlease Services Limited
536,NESCO,Nesco Limited
537,EQUITAS,Equitas Holdings Limited
538,AARTIDRUGS,Aarti Drugs Limited
539,HEIDELBERG,HeidelbergCement India Limited
540,LAOPALA,La Opala RG Limited
541,HSCL,Himadri Speciality Chemical Limited
542,RKFORGE,Ramkrishna Forgings Limited
543,NIITLTD,NIIT Limited
544,JAMNAAUTO,Jamna Auto Industries Limited
545,SPANDANA,Spandana Sphoorty Financial Limited
546,BOROLTD,Borosil Limited
547,GREENPANEL,Greenpanel Industries Limited
548,BHARATRAS,Bharat Rasayan Limited
549,CSBBANK,CSB Bank Limited
550,PRUDENT,Prudent Corporate Advisory Services Limited
551,GREENLAM,Greenlam Industries Limited
552,ELECON,Elecon Engineering Company Limited
553,RAILTEL,Railtel Corporation Of India Limited
554,MIDHANI,Mishra Dhatu Nigam Limited
555,TATACOFFEE,Tata Coffee Limited
556,OLECTRA,Olectra Greentech Limited
557,UFLEX,UFLEX Limited
558,IONEXCHANG,ION Exchange (India) Limited
559,HGINFRA,H.G. Infra Engineering Limited
560,ROSSARI,Rossari Biotech Limited
561,HCG,Healthcare Global Enterprises Limited
562,SHAREINDIA,Share India Securities Limited
563,SAFARI,Safari Industries (India) Limited
564,HEG,HEG Limited
565,SCHNEIDER,Schneider Electric Infrastructure Limited
566,DCBBANK,DCB Bank Limited
567,SANSERA,Sansera Engineering Limited
568,SOUTHBANK,The South Indian Bank Limited
569,NOCIL,NOCIL Limited
570,PCJEWELLER,PC Jeweller Limited
571,TEGA,Tega Industries Limited
572,NAZARA,Nazara Technologies Limited
573,NFL,National Fertilizers Limited
574,BARBEQUE,Barbeque Nation Hospitality Limited
575,INDOCO,Indoco Remedies Limited
576,DAAWAT,LT Foods Limited
577,TARSONS,Tarsons Products Limited
578,JTEKTINDIA,Jtekt India Limited
579,SARDAEN,Sarda Energy & Minerals Limited
580,FUSION,Fusion Micro Finance Limited
581,IFBIND,IFB Industries Limited
582,ANANTRAJ,Anant Raj Limited
583,RELINFRA,Reliance Infrastructure Limited
584,ACE,Action Construction Equipment Limited
585,MAHLOG,Mahindra Logistics Limited
586,TECHNOE,Techno Electric & Engineering Company Limited
587,NAVA,NAVA LIMITED
588,JWL,Jupiter Wagons Limited
589,ISGEC,Isgec Heavy Engineering Limited
590,AMIORG,Ami Organics Limited
591,TINPLATE,The Tinplate Company of India Limited
592,BANARISUG,Bannari Amman Sugars Limited
593,JINDALPOLY,Jindal Poly Films Limited
594,HARSHA,Harsha Engineers International Limited
595,PAISALO,Paisalo Digital Limited
596,WSTCSTPAPR,West Coast Paper Mills Limited
597,ASTEC,Astec LifeSciences Limited
598,DISHTV,Dish TV India Limited
599,GATEWAY,Gateway Distriparks Limited
600,UJJIVAN,Ujjivan Financial Services Limited
601,THOMASCOOK,Thomas Cook  (India)  Limited
602,DHANUKA,Dhanuka Agritech Limited
603,EMIL,Electronics Mart India Limited
604,JINDALSAW,Jindal Saw Limited
605,MOIL,MOIL Limited
606,THYROCARE,Thyrocare Technologies Limited
607,VESUVIUS,Vesuvius India Limited
608,GREAVESCOT,Greaves Cotton Limited
609,TCNSBRANDS,TCNS Clothing Co. Limited
610,WOCKPHARMA,Wockhardt Limited
611,HINDWAREAP,Hindware Home Innovation Limited
612,DBREALTY,D B Realty Limited
613,AHLUCONT,Ahluwalia Contracts (India) Limited
614,DBL,Dilip Buildcon Limited
615,KKCL,Kewal Kiran Clothing Limited
616,STAR,Strides Pharma Science Limited
617,ADVENZYMES,Advanced Enzyme Technologies Limited
618,RESPONIND,Responsive Industries Limited
619,MOLDTKPAC,Mold-Tek Packaging Limited
620,NEOGEN,Neogen Chemicals Limited
621,GRAVITA,Gravita India Limited
622,RATEGAIN,Rategain Travel Technologies Limited
623,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
624,CHENNPETRO,Chennai Petroleum Corporation Limited
625,HEMIPROP,Hemisphere Properties India Limited
626,HATHWAY,Hathway Cable & Datacom Limited
627,TATASTLLP,Tata Steel Long Products Limited
628,SAGCEM,Sagar Cements Limited
629,ITDC,India Tourism Development Corporation Limited
